item_id,source_id,title,type,intended_use,license,date_last_updated,local_path,tags,source_family
1014-2025-08-15-opensearch-benchmarking,1014,"OpenSearch Benchmarking",report,RAG,CC BY-SA 4.0,2025-08-15,preflight_corpus/data/rag/audits/trailofbits/reports_md/OpenSearch-Benchmarking.md,"Audits, Findings, Real-World",trailofbits
1020-2023-06-07-cyfrin-uniswap-v3-limit-orders,1020,"Uniswap v3 Limit Orders",audit,RAG,AllRights Reserved,2023-06-07,preflight_corpus/data/rag/audits/cyfrin/reports_md/2023-06-07-cyfrin-uniswap-v3-limit-orders.md,"Audits, Reports, Cyfrin",cyfrin
1020-2023-03-13-beanstalk_wells_v0.1,1020,"Beanstalk Wells Initial Audit Report",audit,RAG,AllRights Reserved,2023-03-13,preflight_corpus/data/rag/audits/cyfrin/reports_md/2023-03-13-beanstalk_wells_v0.1.md,"Audits, Reports, Cyfrin",cyfrin
1019-2025-03-31-36092-sc-insight-collateralizable-contracts-may-retain-status-unconditionally,1019,"#36092 (SC-Insight): Collateralizable Contracts May Retain Status Unconditionally",audit,RAG,CC BY-SA 4.0,2025-03-31,preflight_corpus/data/rag/bounties/immunefi/competitions/anvil/36092-sc-insight-collateralizable-contracts-may-retain-status-unconditionally.md,"Bug Bounty, Incidents, Reports, Immunefi",immunefi
1021-2025-08-15-eip-1,1021,"EIP-1: EIP Purpose and Guidelines",standard,RAG,CC0 1.0,2025-08-15,preflight_corpus/data/rag/ethereum/ercs/eip-1.md,"Ethereum, Standards, ERC",ethereum
1021-2025-08-15-erc-20,1021,"ERC-20: Token Standard",standard,RAG,CC0 1.0,2025-08-15,preflight_corpus/data/rag/ethereum/ercs/erc-20.md,"Ethereum, Standards, ERC",ethereum
1011-v540-accesscontrol-sol,1011,"AccessControl Smart Contract",code,both,MIT License,2025-07-17,preflight_corpus/data/rag/openzeppelin/contracts/access/AccessControl.sol,"OpenZeppelin, Secure Patterns, Reuse, Library",openzeppelin
1009-2025-01-20-SC01-2025,1009,"SC01:2025 Access Control Vulnerabilities",checklist,RAG,CC BY-SA 4.0,2025-01-20,preflight_corpus/data/rag/owasp/owasp-scs/docs/sctop10/SC01-AccessControlVulnerabilities.md,"Awareness, Best Practices",owasp
1006-2025-02-26-SCSVS-frontispiece,1006,"SCSVS: Frontispiece",standard,both,CC BY-SA 4.0,2025-02-26,preflight_corpus/data/rag/owasp/owasp-scs/docs/SCSVS/01-Frontispiece.md,"Controls, Baseline, Compliance",owasp
1001-2022-04-04-abstract-contracts,1001,"Abstract Contracts",doc,RAG,GPL-3.0,2022-04-04,preflight_corpus/data/rag/solidity_docs/contracts/abstract-contracts.md,"Solidity, Reference, Compiler",ethereum
