doc_id,title,source_url,type,intended_use,license,notes,local_path,version_or_date,tags
1001,Solidity Docs,https://github.com/ethereum/solidity/tree/develop/docs,doc,RAG,GPL-3.0,"""Core language reference and style guidelines""",preflight_corpus/data/rag/solidity_docs,v 0.8.30,"Solidity, Reference, Compiler"
1002,SWC-Registry,https://github.com/SmartContractSecurity/SWC-registry,doc,RAG,MIT License,"""Legacy vulnerability classification registry. All vulnerabilities were incorporated into v1 of the EEA EthTrust Security Level spec published in August 2022.""",preflight_corpus/data/rag/swc,"Aug 6, 2024","Vulnerabilities, Legacy, Classification"
1003,EEA EthTrust Security Levels Specification v1,https://entethalliance.org/specs/ethtrust-sl/v1/,standard,RAG,Apache 2.0,"""EEA spec, version 1; cite in findings; avoid bulk redistribution""",preflight_corpus/data/rag/ethtrust/v1,v1,"Ethereum, Standards, Security, Conformance"
1004,EEA EthTrust Security Levels Specification v2,https://entethalliance.org/specs/ethtrust-sl/v2/,standard,RAG,Apache 2.0,"""EEA spec, Version 2; cite in findings""",preflight_corpus/data/rag/ethtrust/v2,v2,"Ethereum, Standards, Security, Conformance"
1005,EEA EthTrust Security Levels Specification v3,https://entethalliance.org/specs/ethtrust-sl/v3/,standard,RAG,Apache 2.0,"""EEA spec, Version 3; cite in findings""",preflight_corpus/data/rag/ethtrust/v3,v3,"Ethereum, Standards, Security, Conformance"
1006,OWASP SCS SCSVS,https://github.com/OWASP/owasp-scs/tree/main/docs/SCSVS,doc,both,CC BY-SA 4.0,"""Baseline security controls""",preflight_corpus/data/rag/owasp/owasp-scs/docs/SCSVS,"Aug 5, 2025","Controls, Baseline, Compliance"
1007,OWASP SCS SCSTG,https://github.com/OWASP/owasp-scs/tree/main/docs/SCSTG,doc,RAG,CC BY-SA 4.0,"""Testing guide""",preflight_corpus/data/rag/owasp/owasp-scs/docs/SCSTG,"Aug 5, 2025","Testing, Validation"
1008,OWASP SCS SCWE,https://github.com/OWASP/owasp-scs/tree/main/docs/SCWE,doc,both,CC BY-SA 4.0,"""Smart contract weakness enumeration""",preflight_corpus/data/rag/owasp/owasp-scs/docs/SCWE,"Aug 5, 2025","Weaknesses, Enumeration, Vulnerabilities"
1009,OWASP SCS Top 10,https://github.com/OWASP/owasp-scs/tree/main/docs/sctop10,doc,RAG,CC BY-SA 4.0,"""Awareness of common vulnerabilities.""",preflight_corpus/data/rag/owasp/owasp-scs/docs/sctop10,"Aug 5, 2025","Awareness, Best Practices"
1010,OWASP Checklists,https://github.com/OWASP/owasp-scs/tree/main/docs/checklists,doc,RAG,CC BY-SA 4.0,"""Practical checks""",preflight_corpus/data/rag/owasp/owasp-scs/docs/checklists,"Aug 5, 2025","Practical, Validation, Reference"
1011,OpenZeppelin Contracts,https://github.com/OpenZeppelin/openzeppelin-contracts,code,both,MIT License,"""Canonical secure contract implementations""",preflight_corpus/data/rag/openzeppelin/contracts,v 5.4.0,"OpenZeppelin, Secure Patterns, Reuse, Library"
1012,OpenZeppelin Docs,https://github.com/OpenZeppelin/openzeppelin-contracts/tree/master/docs,doc,RAG,MIT License,"""Documentation for OpenZeppelin contracts""",preflight_corpus/data/rag/openzeppelin/docs,v 5.4.0,"OpenZeppelin, Documentation, Reference"
1013,OpenZeppelin Changelog,https://github.com/OpenZeppelin/openzeppelin-contracts/blob/master/CHANGELOG.md,doc,RAG,MIT License,"""Explanations and rationale for secure patterns, security-related changes between versions.""",preflight_corpus/data/rag/openzeppelin/changelogs,v 5.4.0,"OpenZeppelin, Versioning, Security Updates"
1014,Trail of Bits Reports,https://github.com/trailofbits/publications/tree/master/reports,audit,RAG,CC BY-SA 4.0,"""Full public audit reports — high-quality real-world findings""",preflight_corpus/data/rag/audits/trailofbits/reports_md,"Aug 15, 2025","Audits, Findings, Real-World, ToB"
1015,Trail of Bits Datasets,https://github.com/trailofbits/publications/tree/master/datasets/smart_contract_audit_findings,dataset,RAG,CC BY-SA 4.0,"""Structured audit findings useful for RAG""",preflight_corpus/data/rag/audits/trailofbits/datasets,"Aug 15, 2025","Datasets, Structured, Findings, Machine Learning"
1016,Trail of Bits Security Reviews,https://github.com/trailofbits/publications/tree/master/reviews,report,RAG,CC BY-SA 4.0,"""Architecture/system-level crypto & security reviews""",preflight_corpus/data/rag/audits/trailofbits/reviews_md,"Aug 15, 2025","Architecture, Crypto, System Security, ToB"
1017,Trail of Bits Papers,https://github.com/trailofbits/publications/tree/master/papers,paper,RAG,CC BY-SA 4.0,"""Academic and white papers from Trail of Bits security team.""",preflight_corpus/data/rag/audits/trailofbits/papers_md,"Aug 15, 2025","Research, Whitepaper, Academic, ToB"
1018,Trail of Bits Presentations,https://github.com/trailofbits/publications/tree/master/presentations,paper,RAG,CC BY-SA 4.0,"""Talks and presentations from Trail of Bits team.""",preflight_corpus/data/rag/audits/trailofbits/presentations_md,"Aug 15, 2025","Talks, Presentations, ToB"
1019,Immunefi Audit Competitions,https://github.com/immunefi-team/Past-Audit-Competitions,incident,RAG,CC BY-SA 4.0,"""Bug reports from Immunefi bounty competitions—great for example-driven reasoning""",preflight_corpus/data/rag/bounties/immunefi/competitions,"Mar 31, 2025","Bug Bounty, Incidents, Reports, Immunefi"
1020,Cyfrin Audit Reports (Markdown),https://github.com/Cyfrin/cyfrin-audit-reports/tree/main/reports_md,audit,RAG,All rights reserved,"""Public audit reports in Markdown. Use sparingly with citation""",preflight_corpus/data/rag/audits/cyfrin/reports_md,"Aug 6, 2025","Audits, Reports, Cyfrin"
1021,Ethereum ERCs,https://github.com/ethereum/ERCs,standard,RAG,CC0-1.0 ,"""Interface specs (ERC-20/721/1155/777/4626/2981/1271/2612/2771/6909/4494)""",preflight_corpus/data/rag/ethereum/ercs,"Aug 15, 2025","Ethereum, Standards, ERC"
1022,Ethereum EIPs,https://github.com/ethereum/EIPs,standard,RAG,CC0-1.0 ,"""Core proposals used in security/conformance checks (712/1167/1967/1822/2535/…)""",preflight_corpus/data/rag/ethereum/eips,"Aug 16, 2025","Ethereum, Standards, Governance, Proposals"
